,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
10,US,2281408,R1GGP7ZOM0SH0L,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,3,0,0,N,Y,Three Stars,This air bed leaks air and it doesn't sleep comfortable. C- !,8/30/2015
11,US,12187001,R3S7TE4GBA58LO,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,4,0,0,N,Y,My Mom felt comfortable sleeping on this when she visited me,My Mom felt comfortable sleeping on this when she visited me. Thats all that matters. Make sure to fill with air every day.,8/30/2015
12,US,11214207,R2GMNUQVY8DEE3,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Five Stars,It worked well,8/30/2015
13,US,4591182,RHT0A841S8UJG,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,1,1,1,N,N,Its garbage had mine for two months its already screwed up ...,Its garbage had mine for two months its already screwed up one whole side is way larger than it should be never buying it again!!!!!!,8/30/2015
14,US,49237740,R2JOXI54NG9XD8,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,2,0,0,N,Y,Not as expected,Not comfortable at all.,8/29/2015
15,US,17826608,R2N0AGW8FQIC2G,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,1,N,Y,Great nights sleep.,"I had my doubts about this bed. I went to several stores and saw this same bed for eighty dollars. Even at Walmart. I paid half the price for the same bed. It inflated quickly. Less than five minuets. But the big surprise was how comfortable this bed is. I just bought a new bed for our bedroom, and I'm not so sure ths one isn't even more comfortable. I could sleep on it every night. Best purchase I've made so far.",8/29/2015
16,US,146356,R2603JT1LW4LFD,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Five Stars,i love it and it is exactly what i want.  Than you,8/29/2015
17,US,21447444,R38JUOE3FDCREY,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,1,0,0,N,Y,Busted After 30 Days,"We've had it a month, and the chambers broke. We have to replace it. However, it's past 30 days. So, I have to spend money I can't afford on something else.",8/29/2015
18,US,22499938,R2UWVFEJH5JMKY,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,4,0,0,N,Y,Worth it,Easy to inflate & deflate. I found the top of the matress uncomfortable and had to use a comforter to smooth out the surface. Good value for the price.,8/29/2015
19,US,8348926,R28S38VVTGQH9N,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,1,1,1,N,N,Don't buy one!,Don't buy one I've had mine since June and this August it's already has abig air pockets. It's very had to sleep on because of it. It's also have had to get on and off it. Because of the huge air pockets. I have to have an air mattress for my back and hip problems. I haven't had this one long at all and I need to buy a air mattress. I'll have to pay extra money for a better one but it will be worth it! This air mattress worthless!,8/28/2015
20,US,12191975,R2S8CY6BDKQXL0,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Great Product,"Very Simple to inflate and deflate and store.  Great Price,  Very fast shipping.  Just an awesome item overall.",8/27/2015
21,US,44516160,R1N2T32CRVWI89,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Five Stars,"Perfect for family guest. Ordered, received and satisfied in less than a week.",8/27/2015
22,US,34761779,R4KZ06YD93WNT,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Five Stars,Very happy with product. Built in air pump makes it extremely easy to inflate and deflate the mattress,8/27/2015
23,US,38395967,R209J4KLYD2W7T,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,4,0,0,N,Y,and it worked great for us camping,"My wife and I are very large, and it worked great for us camping.",8/27/2015
24,US,393548,RZVQTGTYMYQP5,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,1,1,1,N,N,Same bad results twice,"I bought this particular model twice from two different vendors.  The first one didn't even last a day.  The first time I inflated it, I ended up with a large bubble on the side.  One of the ribs popped.  I originally thought that it might of been my fault with over filling it even though one side was still not fully inflated.  I did use it for a little while longer due to lack of other options.  A couple of months later, I purchased the same model airbed from a different vendor in hopes that it was a fluke the first time.  The second time it was great for the first 4 months.  Then the ribs started popping and now I have a very lopsided mattress...again.  So I'm stuck with a lopsided mattress again outside the warranty.  Shame on me for giving the benefit of the doubt.",8/26/2015
25,US,479612,R3H549MSIDOJ54,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Five Stars,Very firm and tuff<br />Works great,8/26/2015
26,US,13301344,R3SY6BD1D8LRJ4,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,1,1,1,N,Y,Arrived with a slow leak,"This mattress arrived with a slow leak in it.  We took it out of the box on Friday night, and by the morning it was almost completely deflated.  I would not recommend purchasing this one.",8/26/2015
27,US,13997323,R1WZQLVMCZSEWD,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,This bed is great! I slept on it for a month!,This bed is great! I slept on it for a month after I got my first job out of grad school while I saved up for a real mattress and now we use it when guests stay over. We probably use it on average 2 times a month and it has held up well! People are always surprised how comfortable it is and I love the electric pump feature to inflate and deflate it! We recently bought a second one to gift to a friend!,8/26/2015
28,US,25281013,R380E019ALKLWE,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Five Stars,"great deal, sleeps great",8/26/2015
29,US,289520,R2D9ZR4FM54PK,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Five Stars,"easy to set up, use, and deflate.",8/26/2015
30,US,16449415,R3PGGT81P6Y397,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Five Stars,Super comfy for an air mattress! We are very pleased with this product,8/25/2015
31,US,8798870,R21QZ4NKA94JFR,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,3,0,0,N,Y,Three Stars,Motor is weak,8/25/2015
32,US,16087295,R3IHFYC2A2PMD2,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Five Stars,Still going strong after 3 years and a hubby who weighs over 200lbs.,8/25/2015
33,US,24127063,R3GM06FMJVBC7U,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Definitely recommend,Great function and value!,8/25/2015
34,US,6760549,R39E8M4M5ETPZ,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,1,1,1,N,Y,"ALL BAD ""maybe it was just mines""","didn't even have it for a month and it swelled up on one side like a huge beach ball, cant even lay in it, and NO its not a weight issue my to kids ages 8 and 9 slept in it no more than a buck 50 total weight.",8/25/2015
35,US,545679,R53VKFX62WX0H,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Five Stars,the best,8/24/2015
36,US,43713876,R2X08HKDNY8OMD,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,1,3,3,N,N,Don't buy.,This bed sucks. Purchased 2 beds in a 4 month time frame and they both have huge bubbles in the middle. DO NOT BUY!!!. And their customer service sucks  as well. If I could give a -0 rating I would.,8/24/2015
37,US,22606620,R33JGZY4P6TFZT,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Five Stars,Everyone says these are very comfortable,8/24/2015
38,US,14291649,R1797KOZ8M3W0T,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,easy to inflate and,"comfy as can be, easy to inflate and deflate",8/24/2015
39,US,26995948,R2FUL3R70QMC3N,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,2,0,0,N,Y,We used this twice and not sure if it's because ...,We used this twice and not sure if it's because we left it on our deck (sun) but 1 side is raised when blown up so you slide to middle,8/24/2015
40,US,26058431,R8HN24TAF2U0E,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,1,0,0,N,Y,"We took this mattress camping, not only did it ...","We took this mattress camping, not only did it try to kill us, it &#34;let us down&#34;. Our son purchased one also and he has tossed his out as well. Not a product to count on.",8/23/2015
41,US,40950821,R2N61AGD7MGI4J,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,"I read the reviews about this bed looking like ""a beach ball"" and I haven't seen this","I read the reviews about this bed looking like &#34;a beach ball&#34; and I haven't seen this. I have had someone using it for over a month straight now and it looks the same as the first day. Super quick filling and it's huge, taller then my actual bed and very comfy. For the price, it Was a great buy and if I have to buy another next year it'd be well worth it. I've inspected the seams and there all in tact and showing no signs of letting up, I'll keep watching just to be sure but I was very satisfied with this product. Please note, if you have a tent that says &#34;will fit a queen sized air mattress&#34; you should opt for a bigger tent or a smaller bed because when this thing blew up it looked like the tent was going airborne, it's very tall.",8/23/2015
42,US,41395106,RGEHSDAG0S76C,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Five Stars,Love how comfy this air mattress is!,8/23/2015
43,US,11011354,R168CNLP6CIO4R,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,4,0,0,N,Y,Four Stars,"Great for camping so far.  If holds up for more than a few calling trips and uses, potential to change rating.",8/23/2015
44,US,13323844,R35QI2466ZKV,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Five Stars,Very comfortable,8/22/2015
45,US,47228044,R27MAAKEVD1HTS,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,1,1,1,N,Y,Bought two in six weeks and now I have nothing.,First one I purchased arrived defective or with a hidden leak and had to be returned immediately.  Purchased replacement that was used nightly by a child (who treated it very gently) for 5 weeks before one of the seams split.  Took a risk buying such an inexpensive model but the reviews made it sound worthwhile.  Not risking a third one--I'll try something sturdier.,8/22/2015
46,US,10899723,R1JKSM2F1MFEZX,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Great Matteress!!,This is a great Air matteress!  Because of the height it really helps to make it easier to get in and out of.  Especially if you have a hard time getting off up off the lower ones.,8/22/2015
47,US,49727445,RG1VSNUCDSIY6,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,2,0,0,N,Y,We got a good price on this,"We got a good price on this, but it didn't last very long. I bought a thin non motor version that was not only cheaper, it lasted twice as long as this one.",8/22/2015
48,US,6716368,R1F74TGDPT6MNQ,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,2,0,0,N,Y,"Developed the dreaded ""lump"" within 4 weeks",It's as depicted but within one month of use it developed a dreaded unfixable lump on the entire right side.,8/21/2015
49,US,11299383,R2SK8IT5F5TYSE,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,good quality.,"exactly as expected, good quality..thanks,.",8/21/2015
50,US,29761280,RG1M7P9S0AASS,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Five Stars,Very comfortable.  Perfect height,8/21/2015
51,US,25352001,RUJMTAM7AHMI4,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Very pleased with this airbed,Very pleased with this airbed. It's easy to use and most comfortable. Wouldn't hesitate in ordering another one if needed.,8/21/2015
52,US,46983700,R2I8ML8NCWMILK,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,4,0,0,N,Y,Goid bed for the price.,"The bed was easy to set up. It is fairly comfortable. I needed a bed she staying with family for several months. I slept on it every night for a month then it began sinking in the center. I can add more sir, but the center of the mattress has stretched out. I weigh 150, so I don't think it stretched because of my weight.",8/20/2015
53,US,2993470,R3L9E8K1JJI6UX,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,2,0,0,N,Y,Doesn't hold air past one night,"This thing is OK after you initially blow it up, and it is comfortable. However it doesn't hold air longer than one night. By morning it's about 50 percent deflated and needs refilled every time it's used ... so if you're camping in the woods, make sure you have a power source.",8/20/2015
54,US,46852136,R2R0TGO56LRGFW,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Fast shipping and very comfy!,"The package came to my house little faster than I expected which was a plus, there was so damage to the package at all! After a week of using it,  it was easy to inflate and deflate,there was no leaks and kept it fullness. I would recommend to friends and family members!",8/20/2015
55,US,40287987,R1GC50BPD941UZ,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,VERY COMFORTABLE,this was a great price and easy to inflate and deflate.  It is very comfortable and easy to store with the convenience storage bag.,8/20/2015
56,US,10292145,R1ACWP4DZDKHIE,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,4,0,0,N,Y,Four Stars,There are better products but for the price it's good,8/19/2015
57,US,21885009,R2V85SP46KMU4P,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,easy to inflate and deflate,"Met and exceeded my expectations, stayed firm for days, easy to inflate and deflate, and a reasonable price.",8/19/2015
58,US,40823941,R36IHCEJ4TSJ91,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,4,0,0,N,N,Four Stars,It is working great and is very comfortable.,8/19/2015
59,US,13660813,R9JRM5FFF6N8M,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Five Stars,Great product! Works perfectly for husband n I. Love it's 22&#34; high feels like a real bed.,8/19/2015
60,US,24158662,R38G239ZGHRF9O,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,and the price was the best.,"exceeded what I was looking for, if there was a king size I would definitely buy it, and the price was the best.",8/19/2015
61,US,47953953,R27IWME50RE1QC,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,1,1,2,N,Y,no good after you had it for 2mouths the hops on ...,no good after you had it for 2mouths  the hops on top the sems  biow up and you cant sleep on it I had 4 know more,8/19/2015
62,US,28060663,R2GM3F6NEWHAS2,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,3,0,0,N,Y,overall good value,"It is a comfortable, reasonably priced, and nice height airbed.  The only thing I would have liked would be a reverse air pump to deflate it.  That said, it is a good value and I am happy with my purchase.",8/19/2015
63,US,47999573,R3GQDJD9F5KMMW,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,4,0,0,N,Y,Four Stars,"Good price, nice product.",8/18/2015
64,US,42282869,RCMNX6C7F1XX1,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Five Stars,It is so comfortable with perfect height Love it,8/18/2015
65,US,7456517,R2X0DKHCGXAYBP,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Five Stars,Great buy!!!,8/18/2015
66,US,36847525,R1RMPU1XL3ZIT9,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,1,1,1,N,Y,Don't recommend.,"We used it once. The second time I unrolled it to discover that the bed was torn where the pump was folded up. I followed the directions that said how to roll the bed and it was stored in provided bag, in the hall closet (not in a hot garage or attic)  I have to believe that the material is just not that durable if it can tear itself when being stored! I used the patch provided but have not tested yet.",8/18/2015
67,US,33803700,R1Y36R4S52PBH1,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,3,0,0,N,Y,car camping only,"It's a bit large, and it loses air every couple of days.  A friend said they stretch and that's why they lose air. Temperature control is tricky-  i have to put a blanket down in the winter otherwise it's cold, and in warmer weather i sweat...  Plus it's not for camping as there is no option for battery pump when camping... i had to hook up a transformer to my car battery to plug it into to fill it!!!",8/18/2015
68,US,4224572,R1EEFYMHL9J3QD,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Five Stars,Awesome bed,8/18/2015
69,US,40063530,R2G5HTCIAJ1M69,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,2,2,N,Y,Great buy,Very comfortable.  Stayed inflated all night.  Great for a pregnant woman.,8/18/2015
70,US,20980347,R3CTBRFGS6B19X,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Great bed.,Great bed. Inflates rapidly and stays up for days without needing to be refilled.,8/18/2015
71,US,20743584,R2S9YSFFCYM5E8,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Five Stars,Very happy with product :),8/18/2015
72,US,47733248,R3E6B3Y2PXMP3H,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,4,0,0,N,Y,Four Stars,Jen Davis,8/17/2015
73,US,12947774,R5YA30IZ231KY,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,"Great bed, even better deal!",Great bed thus far.  Have used it several times and it did not deflate or lose air pressure while being slept on through the night.  The built in pump is a nice feature when electricity is available.  It does make it a little awkward when rolling the bed back up.  Just takes a little getting used to make sure that the bed will fit back in the provided storage bag.,8/17/2015
74,US,4058940,R1910YT9ND5MSU,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Is good,Is a good matress. High quality. Have had no problems with it.,8/17/2015
75,US,5030044,R2M7X1N8B4AS8D,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,3,0,0,N,Y,Three Stars,"Bought 2, but only 1 stayed inflated. One immediately began to deflate right after we blew it up",8/17/2015
76,US,1040506,R2NDGIDSGA124M,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,3,0,0,N,Y,The rest of the product is wonderful!!,It has a slow leak.  The rest of the product is wonderful!!!  It has to be refilled each night.,8/17/2015
77,US,14164059,R2GRZSEG254PMY,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,4,1,1,N,Y,"Comfortable, very happy","I bought this as an extra bed for our family reunion.  I slept on it myself for 4 nights with another person (about 450lbs combined) and we were very comfortable.  We did have to add a little air the last night.  The built in pump works well and fills it fast.  The bed is a good height, nice and firm.  We slept very comfortable.  I consider this a great buy.",8/17/2015
78,US,35313801,R18RPED52M5KJ8,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Extremely durable and comfortable for the price,Extremely durable and comfortable for the price. For a queen sized bed it doesn't take up as much space as would be expected. A great buy.,8/17/2015
79,US,38290380,R1UUDSFJBNZ0P9,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,I am very pleased with the purchase,I had surgery and needed an airbed to place in the living room. I am a larger individual and this bed held up very well! It partially deflated the first week each night (that is expected as the material stretches). After the first week it did not! I am very pleased with the purchase. Inflates/deflates by itself w/ an electric outlet within minutes,8/17/2015
80,US,1063517,R2NC4IYUAL8PKG,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,1,0,0,N,Y,Two months,"Very convenient, also feels good, though it leaks slowly and need to inflate sometime, but still good  Updated Oct. 9: It exploded, after 2 months, and leak out in 5min, after a &#34;beach ball&#34; stage some other guys mentioned. Now it looks like a huge black trash bag lying on my floor. Maybe it's not for sleeping on it everyday as a normal bed.",8/16/2015
81,US,15045998,RDGB4YOJKW5U7,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,1,0,0,N,Y,Not sure if the quality is not as good as when I originally purchased the first one in ...,I bought this on May 12th and used it three times.  The seam already popped so it's unsleepable.  I bought the same exact one before and it lasted so long I thought I would have the same result.  This time it wasn't up to par.  It can only be returned for a month so I'm stuck with a mattress that was only used three times before it had to be thrown away.  Not sure if the quality is not as good as when I originally purchased the first one in the fall of 2014---that one is still good---not sure what happened with this new one!,8/16/2015
82,US,19972616,R3743208H3G1FE,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,1,0,0,N,Y,"It wasn't the most comfortable, but its an air mattress so I wasn't ...","My husband and I bought this to use between when we got married and when the bed we ordered came. At first it was ok. It wasn't the most comfortable, but its an air mattress so I wasn't expecting much. The ridges were a bit too big. One day, one of the seams inside the air mattress that makes the ridges broke so we ended up with a large lump on the air mattress - right on my side! I also had a muscle spasm in my neck, which I think came from sleeping on this air mattress. When we purchase another air mattress, it won't be this one.",8/16/2015
83,US,373532,R1221D37GZS2UI,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,2,0,0,N,Y,Two Stars,Leaks more than it should.,8/15/2015
84,US,27424806,RECJNLS9FN2SF,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,1,1,1,N,Y,Waste of money!,Went flat after a weekend.  Refuse to buy this brand ever again.,8/15/2015
85,US,330241,R25LQ4S9ASFH24,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Five Stars,Great!! Love it.,8/15/2015
